ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2005,2005-08-10,31,Estádio Durival Britto e Silva,,,,Paraná,Fluminense,,,,,,,,,6,1,,,,,,,,,,,,,,,,,Casa,Casa,2005,8
2005,2005-07-05,3,Estádio de Hailé Pinheiro,,,,Goiás EC,Figueirense FC,,,,,,,,,0,0,,,,,,,,,,,,,,,,,Empate,Casa,2005,7
2005,2005-03-11,36,Allianz Parque,,,,Palmeiras,Flamengo,,,,,,,,,0,1,,,,,,,,,,,,,,,,,Fora,Fora,2005,3
2005,2005-03-07,10,Estádio Urbano Caldeira,,,,Santos FC,Juventude,,,,,,,,,0,0,,,,,,,,,,,,,,,,,Empate,Casa,2005,3
2005,2005-11-09,25,Estádio Urbano Caldeira,,,,Santos FC,Flamengo,,,,,,,,,0,0,,,,,,,,,,,,,,,,,Empate,Casa,2005,11
2005,2005-01-10,29,Estádio Urbano Caldeira,,,,Santos FC,Fortaleza,,,,,,,,,0,0,,,,,,,,,,,,,,,,,Empate,Casa,2005,1
2005,2005-02-07,10,Estádio Jornalista Mário Filho,,,,Fluminense,Paraná,,,,,,,,,0,1,,,,,,,,,,,,,,,,,Fora,Fora,2005,2
2005,2005-06-10,30,Estádio Jornalista Mário Filho,,,,Fluminense,Corinthians,,,,,,,,,0,2,,,,,,,,,,,,,,,,,Fora,Fora,2005,6
2005,2005-07-08,18,Estádio Cícero Pompeu de Toledo,,,,São Paulo,Goiás EC,,,,,,,,,0,1,,,,,,,,,,,,,,,,,Fora,Fora,2005,7
2005,2005-06-08,18,Neo Química Arena,,,,Corinthians,São Caetano,,,,,,,,,0,2,,,,,,,,,,,,,,,,,Fora,Fora,2005,6
